_id,nombre,email,pais,fecha_registro,plan_suscripcion,idioma_preferido
69da83d24fd7e59767eb9620,Juan García,juan.garcía_1@gmail.com,Argentina,2023-10-17T00:00:00.000Z,gratuito,es
69da83d24fd7e59767eb9621,María Rodríguez,maría.rodríguez_2@gmail.com,México,2022-04-25T00:00:00.000Z,basico,es
69da83d24fd7e59767eb9622,Carlos López,carlos.lópez_3@gmail.com,Colombia,2022-01-26T00:00:00.000Z,premium,es
69da83d24fd7e59767eb9623,Ana Martínez,ana.martínez_4@gmail.com,Chile,2024-01-30T00:00:00.000Z,gratuito,es
69da83d24fd7e59767eb9624,Luis González,luis.gonzález_5@gmail.com,Perú,2022-10-09T00:00:00.000Z,basico,es
69da83d24fd7e59767eb9625,Sofía Pérez,sofía.pérez_6@gmail.com,España,2022-09-08T00:00:00.000Z,premium,es
69da83d24fd7e59767eb9626,Pedro Sánchez,pedro.sánchez_7@gmail.com,Uruguay,2022-08-17T00:00:00.000Z,gratuito,es
69da83d24fd7e59767eb9627,Laura Ramírez,laura.ramírez_8@gmail.com,Brasil,2022-05-23T00:00:00.000Z,basico,es
69da83d24fd7e59767eb9628,Diego Torres,diego.torres_9@gmail.com,Venezuela,2024-01-25T00:00:00.000Z,premium,es
69da83d24fd7e59767eb9629,Valentina Flores,valentina.flores_10@gmail.com,Ecuador,2022-04-15T00:00:00.000Z,gratuito,es
69da83d24fd7e59767eb962a,Andrés Rivera,andrés.rivera_11@gmail.com,Argentina,2023-11-24T00:00:00.000Z,basico,es
69da83d24fd7e59767eb962b,Camila Díaz,camila.díaz_12@gmail.com,México,2024-01-29T00:00:00.000Z,premium,es
69da83d24fd7e59767eb962c,Roberto Morales,roberto.morales_13@gmail.com,Colombia,2024-07-02T00:00:00.000Z,gratuito,es
69da83d24fd7e59767eb962d,Natalia Jiménez,natalia.jiménez_14@gmail.com,Chile,2023-07-13T00:00:00.000Z,basico,es
69da83d24fd7e59767eb962e,Fernando Ruiz,fernando.ruiz_15@gmail.com,Perú,2022-03-31T00:00:00.000Z,premium,es
69da83d24fd7e59767eb962f,Lucía Hernández,lucía.hernández_16@gmail.com,España,2023-08-28T00:00:00.000Z,gratuito,es
69da83d24fd7e59767eb9630,Martín Reyes,martín.reyes_17@gmail.com,Uruguay,2023-03-09T00:00:00.000Z,basico,es
69da83d24fd7e59767eb9631,Paula Cruz,paula.cruz_18@gmail.com,Brasil,2022-02-02T00:00:00.000Z,premium,es
69da83d24fd7e59767eb9632,Javier Ortiz,javier.ortiz_19@gmail.com,Venezuela,2022-01-31T00:00:00.000Z,gratuito,es
69da83d24fd7e59767eb9633,Claudia Vargas,claudia.vargas_20@gmail.com,Ecuador,2022-04-06T00:00:00.000Z,basico,es
69da83d24fd7e59767eb9634,Miguel Romero,miguel.romero_21@gmail.com,Argentina,2022-08-12T00:00:00.000Z,premium,es
69da83d24fd7e59767eb9635,Florencia Castillo,florencia.castillo_22@gmail.com,México,2022-08-27T00:00:00.000Z,gratuito,es
69da83d24fd7e59767eb9636,Gabriel Gutiérrez,gabriel.gutiérrez_23@gmail.com,Colombia,2023-06-02T00:00:00.000Z,basico,es
69da83d24fd7e59767eb9637,Daniela Mendoza,daniela.mendoza_24@gmail.com,Chile,2023-09-09T00:00:00.000Z,premium,es
69da83d24fd7e59767eb9638,Ricardo Álvarez,ricardo.álvarez_25@gmail.com,Perú,2022-01-28T00:00:00.000Z,gratuito,es
